question_id,question,difficulty,products
1521,"For all the transactions happened during 8:00-9:00 in 2012/8/26, how many happened in CZE?",moderate,"['gasstations', 'transactions_1k']"
1524,What's the nationality of the customer who spent 548.4 in 2012/8/24?,simple,"['gasstations', 'transactions_1k']"
1525,What is the percentage of the customers who used EUR in 2012/8/25?,simple,"['customers', 'transactions_1k']"
1526,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",challenging,"['yearmonth', 'gasstations', 'transactions_1k']"
1528,"What is the percentage of ""premium"" against the overall segment in Country = ""SVK""?",simple,['gasstations']
1529,"What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012?",moderate,"['yearmonth', 'gasstations', 'transactions_1k']"
1531,Who is the top spending customer and how much is the average price per single item purchased by this customer? What currency was being used?,moderate,"['customers', 'yearmonth', 'transactions_1k']"
1533,For all the people who paid more than 29.00 per unit of product id No.5. Give their consumption status in the August of 2012.,moderate,"['yearmonth', 'transactions_1k']"
1312,What's Angela Sanders's major?,simple,"['major', 'member']"
1317,"Among the students from the Student_Club who attended the event ""Women's Soccer"", how many of them want a T-shirt that's in medium size?",moderate,"['attendance', 'member', 'event']"
1322,"Among the events attended by more than 10 members of the Student_Club, how many of them are meetings?",moderate,"['attendance', 'event']"
1323,List all the names of events that had an attendance of over 20 students but were not fundraisers.,moderate,"['attendance', 'event']"
1331,What is the amount of the funds that the Vice President received?,simple,"['member', 'income']"
1334,List the full name of the Student_Club members that grew up in Illinois state.,simple,"['zip_code', 'member']"
1338,"Was each expense in October Meeting on October 8, 2019 approved?",moderate,"['budget', 'event', 'expense']"
1339,Calculate the total average cost that Elijah Allen spent in the events on September and October.,challenging,"['member', 'expense']"
1340,Calculate the difference of the total amount spent in all events by the Student_Club in year 2019 and 2020.,moderate,"['budget', 'event']"
1344,What was the notes of the fundraising on 2019/9/14?,simple,['income']
1346,"Tell the phone number of ""Carlo Jacobs"".",simple,['member']
1350,"What is the status of the event which bought ""Post Cards, Posters"" on 2019/8/20?",moderate,"['budget', 'expense']"
1351,What was Brent Thomason's major?,simple,"['major', 'member']"
1352,"For all the club members from ""Business"" major, how many of them wear medium size t-shirt?",moderate,"['major', 'member']"
1356,Which department was the President of the club in?,simple,"['major', 'member']"
1357,State the date Connor Hilton paid his/her dues.,simple,"['member', 'income']"
1359,"How many times was the budget in Advertisement for ""Yearly Kickoff"" meeting more than ""October Meeting""?",challenging,"['budget', 'event']"
1361,What is the total cost of the pizzas for all the events?,simple,['expense']
1362,"How many cities are there in Orange County, Virginia?",simple,['zip_code']
1368,"What does the person with the phone number ""809-555-3360"" major in?",simple,"['major', 'member']"
1371,"How many members attended the ""Women's Soccer"" event?",simple,"['attendance', 'event']"
1375,"List all the members of the ""School of Applied Sciences, Technology and Education"" department.",moderate,"['major', 'member']"
1376,"Among all the closed events, which event has the highest spend-to-budget ratio?",moderate,"['budget', 'event']"
1378,What is the highest amount of budget spend for an event?,simple,['budget']
1380,What is the total amount of money spent for food?,simple,['budget']
1381,List the name of students that have attended more than 7 events.,moderate,"['attendance', 'member']"
1387,Which student has been entrusted to manage the budget for the Yearly Kickoff?,moderate,"['budget', 'member', 'event', 'expense']"
1389,Which event has the lowest cost?,simple,"['budget', 'event', 'expense']"
1390,"Based on the total cost for all event, what is the percentage of cost for Yearly Kickoff event?",moderate,"['budget', 'event', 'expense']"
1392,Indicate the top source of funds received in September 2019 based on their amount.,simple,['income']
1394,How many members of the Student_Club have major in 'Physics Teaching'?,simple,"['major', 'member']"
1398,Name the event with the highest amount spent on advertisement.,moderate,"['budget', 'event']"
1399,Did Maya Mclean attend the 'Women's Soccer' event?,moderate,"['attendance', 'event', 'member']"
1401,Indicate the cost of posters for 'September Speaker' event.,moderate,"['budget', 'event', 'expense']"
1403,Indicate the name of the closed event whose cost has exceeded the budget the most.,moderate,"['budget', 'event']"
1404,Identify the type of expenses and their total value approved for 'October Meeting' event.,moderate,"['budget', 'event', 'expense']"
1405,Calculate the amount budgeted for 'April Speaker' event. List all the budgeted categories for said event in an ascending order based on their amount budgeted.,moderate,"['budget', 'event']"
1409,Mention the total expense used on 8/20/2019.,simple,['expense']
1410,"List out the full name and total cost that member id ""rec4BLdZHS2Blfp4v"" incurred?",simple,"['member', 'expense']"
1411,State what kind of expenses that Sacha Harrison incurred?,simple,"['member', 'expense']"
1422,State the category of events were held at MU 215.,simple,"['budget', 'event']"
1426,List the last name of members with a major in environmental engineering and include its department and college name.,moderate,"['major', 'member']"
1427,What are the budget category of the events located at MU 215 and a guest speaker type with a 0 budget spent?,moderate,"['budget', 'event']"
1432,"Among the members with t-shirt size of medium, what is the percentage of the amount 50 received by the Student_Club?",moderate,"['member', 'income']"
1435,"List the names of closed event as ""game"" that was closed from 3/15/2019 to 3/20/2020.",moderate,['event']
1457,Give the full name and contact number of members who had to spend more than average on each expense.,challenging,"['budget', 'member', 'expense']"
1460,"Write the full name of the member who spent money for water, veggie tray and supplies and include the cost of it.",challenging,"['member', 'expense']"
1464,Write the full names of students who received funds on the date of 9/9/2019 and include the amount received.,challenging,"['attendance', 'member', 'event', 'income']"
1149,Are there more in-patient or outpatient who were male? What is the deviation in percentage?,moderate,['Patient']
1150,What is the percentage of female patient were born after 1930?,moderate,['Patient']
1152,What is the ratio of outpatient to inpatient followed up treatment among all the 'SLE' diagnosed patient?,moderate,['Patient']
1153,What is the disease patient '30609' diagnosed with. List all the date of laboratory tests done for this patient.,simple,"['Patient', 'Laboratory']"
1155,"List the patient ID, sex and birthday of patient with LDH beyond normal range.",simple,"['Patient', 'Laboratory']"
1156,State the ID and age of patient with positive degree of coagulation.,moderate,"['Examination', 'Patient']"
1157,"For patients with severe degree of thrombosis, list their ID, sex and disease the patient is diagnosed with.",simple,"['Examination', 'Patient']"
1162,How many female patients who came at the hospital in 1997 was immediately followed at the outpatient clinic?,moderate,['Patient']
1164,How many of the patients with the most serious thrombosis cases examined in 1997 are women?,moderate,"['Examination', 'Patient']"
1166,What are the symptoms observed by the youngest patient to ever did a medical examination? Identify their diagnosis.,simple,"['Examination', 'Patient']"
1168,"The oldest SJS patient's medical laboratory work was completed on what date, and what age was the patient when they initially arrived at the hospital?",challenging,"['Patient', 'Laboratory']"
1169,What is the ratio of male to female patients among all those with abnormal uric acid counts?,challenging,"['Patient', 'Laboratory']"
1171,How many underage patients were examined during the course of the three-year period from 1990 to 1993?,challenging,"['Examination', 'Patient']"
1175,"How old was the patient who had the highest hemoglobin count at the time of the examination, and what is the doctor's diagnosis?",moderate,"['Patient', 'Laboratory']"
1179,"For the patient who was diagnosed with SLE on 1994/2/19, what was his/her anti-Cardiolipin antibody concentration status on 1993/11/12?",moderate,"['Examination', 'Patient']"
1185,"For the patient who was born on 1959/2/18, what is the decrease rate for his/her total cholesterol from November to December in 1981?",challenging,"['Patient', 'Laboratory']"
1187,How many patients who were examined between 1987/7/6 and 1996/1/31 had a GPT level greater than 30 and an ALB level less than 4? List them by their ID.,moderate,['Laboratory']
1189,"What number of patients with a degree of thrombosis level 2 and ANA pattern of only S, have a level of anti-Cardiolip in antibody (IgM) 20% higher than average?",challenging,['Examination']
1192,List all patients who were followed up at the outpatient clinic who underwent a laboratory test in October 1991 and had a total blood bilirubin level within the normal range.,challenging,"['Patient', 'Laboratory']"
1195,What is the average blood albumin level for female patients with a PLT greater than 400 who have been diagnosed with SLE?,moderate,"['Patient', 'Laboratory']"
1198,How many female patients were given an APS diagnosis?,simple,['Patient']
1201,What percentage of patients who were born in 1980 and were diagnosed with RA are women?,moderate,['Patient']
1205,Was the patient with the number 57266's uric acid within a normal range?,moderate,"['Patient', 'Laboratory']"
1208,Provide IDs for male patients with ALT glutamic pylvic transaminase (GPT) that have history of ALT glutamic pylvic transaminase (GPT) exceed the normal range.,moderate,"['Patient', 'Laboratory']"
1209,Please provide the diagnosis of patients with ALT glutamic pylvic transaminase beyond the normal range by ascending order of their date of birth.,moderate,"['Patient', 'Laboratory']"
1220,"Provide all ID, sex and birthday of patients whose urea nitrogen (UN) just within the borderline of passing?",simple,"['Patient', 'Laboratory']"
1225,List and group all patients by sex for total bilirubin (T-BIL) level not within the normal range.,moderate,"['Patient', 'Laboratory']"
1227,What is the average age of the male patient with high cholesterol?,moderate,"['Patient', 'Laboratory']"
1229,"For all patients with triglyceride (TG) level beyond the normal range, how many are age more than 50 years?",moderate,"['Patient', 'Laboratory']"
1231,"For patient born between 1936-1956, how many male patients have creatinine phosphokinase beyond the normal range?",challenging,"['Patient', 'Laboratory']"
1232,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.",challenging,"['Patient', 'Laboratory']"
1235,What are the patient's diagnosis for those who has lower red blood blood cell? State their ID and age.,moderate,"['Patient', 'Laboratory']"
1238,"Among the patients who were diagnosed with SLE, who is the oldest with normal hemoglobin level. Provide the ID and sex.",moderate,"['Patient', 'Laboratory']"
1239,Name the ID and age of patient with two or more laboratory examinations which show their hematoclit level exceeded the normal range.,challenging,"['Patient', 'Laboratory']"
1241,"For patients with abnormal platelet level, state the number of patients with lower than normal range. How is it compare to the number of patients with higher than normal range?",challenging,"['Patient', 'Laboratory']"
1242,"For laboratory examinations take in 1984, list all patients below 50 years old with normal platelet level.",challenging,"['Patient', 'Laboratory']"
1243,"For all patients who are older than 55 years old, what is the percentage of female who has abnormal prothrombin time (PT)?",challenging,"['Patient', 'Laboratory']"
1247,"Among the male patients who have a normal level of white blood cells, how many of them have an abnormal fibrinogen level?",challenging,"['Patient', 'Laboratory']"
1251,How many patients with an Ig G higher than normal?,simple,"['Examination', 'Patient', 'Laboratory']"
1252,"Among the patients with a normal Ig G level, how many of them have symptoms?",moderate,"['Examination', 'Patient', 'Laboratory']"
1254,How many patients with a normal Ig A level came to the hospital after 1990/1/1?,moderate,"['Patient', 'Laboratory']"
1255,"For the patients with an abnormal Ig M level, what is the most common disease they are diagnosed with?",moderate,"['Patient', 'Laboratory']"
1256,How many patients with a abnormal C-reactive protein don't have their data recorded?,moderate,"['Patient', 'Laboratory']"
1257,"Among the patients whose creatinine level is abnormal, how many of them aren't 70 yet?",challenging,"['Patient', 'Laboratory']"
1265,How many patients have a normal level of anti-ribonuclear protein and have been admitted to the hospital?,moderate,"['Patient', 'Laboratory']"
1267,"Among the patients with normal anti-SM, how many of them does not have thrombosis?",moderate,"['Examination', 'Laboratory']"
1270,"Among the patients who has a normal anti-scl70, how many of them are female and does not have any symptom?",challenging,"['Examination', 'Patient', 'Laboratory']"
1275,"Among the patients who has a normal level of anti-centromere and a normal level of anti-SSB, how many of them are male?",moderate,"['Patient', 'Laboratory']"
1281,"Among the patients who have an abnormal level of glutamic oxaloacetic transaminase, when was the youngest of them born?",moderate,"['Patient', 'Laboratory']"
1302,"For the patients with a normal range of creatinine phosphokinase, how many of them have a positive measure of degree of coagulation?",challenging,"['Examination', 'Patient', 'Laboratory']"
1025,Give the name of the league had the most goals in the 2016 season?,moderate,"['Match', 'League']"
1028,"In Scotland Premier League, which away team won the most during the 2010 season?",challenging,"['Match', 'Team', 'League']"
1029,What are the speed in which attacks are put together of the top 4 teams with the highest build Up Play Speed?,moderate,"['Team', 'Team_Attributes']"
1030,Give the name of the league had the most matches end as draw in the 2016 season?,moderate,"['Match', 'League']"
1031,"At present, calculate for the player's age who have a sprint speed of no less than 97 between 2013 to 2015.",challenging,"['Player_Attributes', 'Player']"
1032,Give the name of the league with the highest matches of all time and how many matches were played in the said league.,moderate,"['Match', 'League']"
1035,Give the team_fifa_api_id of teams with more than 50 but less than 60 build-up play speed.,simple,['Team_Attributes']
1036,List the long name of teams with above-average build-up play passing in 2012.,challenging,"['Team', 'Team_Attributes']"
1037,"Calculate the percentage of players who prefer left foot, who were born between 1987 and 1992.",challenging,"['Player_Attributes', 'Player']"
1039,Find the average number of long-shot done by Ahmed Samir Farag.,simple,"['Player_Attributes', 'Player']"
1040,List the top 10 players' names whose heights are above 180 in descending order of average heading accuracy.,moderate,"['Player_Attributes', 'Player']"
1042,List the name of leagues in which the average goals by the home team is higher than the away team in the 2009/2010 season.,challenging,"['Match', 'League']"
1044,List the football players with a birthyear of 1970 and a birthmonth of October.,simple,['Player']
1048,What is the overall rating of the football player Gabriel Tamas in year 2011?,simple,"['Player_Attributes', 'Player']"
1057,Calculate the average home team goal in the 2010/2011 season in the country of Poland.,moderate,"['Country', 'Match']"
1058,Who has the highest average finishing rate between the highest and shortest football player?,challenging,"['Player_Attributes', 'Player']"
1068,"From 2010 to 2015, what was the average overall rating of players who are higher than 170?",moderate,"['Player_Attributes', 'Player']"
1076,"What is the difference of the average ball control score between Abdou Diallo and Aaron Appindangoye
?",challenging,"['Player_Attributes', 'Player']"
1078,"Which player is older, Aaron Lennon or Abdelaziz Barrada?",simple,['Player']
1079,Which player is the tallest?,simple,['Player']
1080,"Among the players whose preferred foot was the left foot when attacking, how many of them would remain in his position when the team attacked?",moderate,['Player_Attributes']
1084,"Among the players born before the year 1986, how many of them would remain in his position and defense while the team attacked?",challenging,"['Player_Attributes', 'Player']"
1088,Please list the names of the players whose volley score and dribbling score are over 70.,moderate,"['Player_Attributes', 'Player']"
1091,"How many matches were held in the Belgium Jupiler League in April, 2009?",moderate,"['Match', 'League']"
1092,Give the name of the league had the most matches in the 2008/2009 season?,simple,"['Match', 'League']"
1094,How much higher in percentage is Ariel Borysiuk's overall rating than that of Paulin Puel?,challenging,"['Player_Attributes', 'Player']"
1096,Calculate the average overall rating of Pietro Marino.,moderate,"['Player_Attributes', 'Player']"
1098,What is Ajax's highest chance creation passing score and what is it classified as?,moderate,"['Team', 'Team_Attributes']"
1102,"For the players who had a 77 points overall rating on 2016/6/23, who was the oldest? Give the name of the player.",moderate,"['Player_Attributes', 'Player']"
1103,What was the overall rating for Aaron Mooy on 2016/2/4?,moderate,"['Player_Attributes', 'Player']"
1105,How was Francesco Migliore's attacking work rate on 2015/5/1?,moderate,"['Player_Attributes', 'Player']"
1107,When was the first time did Kevin Constant have his highest crossing score? Give the date.,moderate,"['Player_Attributes', 'Player']"
1110,"Tell the build Up play passing class for ""FC Lorient"" on 2010/2/22.",moderate,"['Team', 'Team_Attributes']"
1113,"For the team ""Hannover 96"", what was its defence aggression class on 2015/9/10?",moderate,"['Team', 'Team_Attributes']"
1114,What was the average overall rating for Marko Arnautovic from 2007/2/22 to 2016/4/21?,challenging,"['Player_Attributes', 'Player']"
1115,What percentage is Landon Donovan's overall rating higher than Jordan Bowery on 2013/7/12?,challenging,"['Player_Attributes', 'Player']"
1116,List down most tallest players' name.,simple,['Player']
1122,State the name of the most strongest player.,simple,"['Player_Attributes', 'Player']"
1124,Who are the players that tend to be attacking when their mates were doing attack moves? List down their name.,moderate,"['Player_Attributes', 'Player']"
1130,What are the short name of team who played safe while creating chance of passing?,moderate,"['Team', 'Team_Attributes']"
1133,"How many football players born after the 1990s have the first name ""Aaron""?",simple,['Player']
1134,What is the difference between players 6 and 23's jumping scores?,simple,['Player_Attributes']
1135,Please provide top four football players' IDs who are among the lowest potential players and prefer to use the right foot when attacking.,moderate,['Player_Attributes']
1136,How many players had the highest potential score for crossing that preferred to use their left foots while attacking?,moderate,['Player_Attributes']
1139,"What was the final score for the match on September 24, 2008, in the Belgian Jupiler League between the home team and the away team?",challenging,"['Match', 'League']"
1141,"Does the KSV Cercle Brugge team have a slow, balanced or fast speed class?",moderate,"['Team', 'Team_Attributes']"
1144,Please state the finishing rate and curve score of the player who has the heaviest weight.,simple,"['Player_Attributes', 'Player']"
1145,Which top 4 leagues had the most games in the 2015-2016 season?,simple,"['Match', 'League']"
1146,Please provide the full name of the away team that scored the most goals.,moderate,"['Match', 'Team']"
1147,Please name one player whose overall strength is the greatest.,simple,"['Player_Attributes', 'Player']"
1148,What is the percentage of players that are under 180 cm who have an overall strength of more than 70?,moderate,"['Player_Attributes', 'Player']"
846,Please list the reference names of the drivers who are eliminated in the first period in race number 20.,moderate,"['drivers', 'qualifying']"
847,What is the surname of the driver with the best lap time in race number 19 in the second qualifying period?,simple,"['drivers', 'qualifying']"
850,Please give the name of the race held on the circuits in Germany.,simple,"['circuits', 'races']"
854,What is the coordinates location of the circuits for Australian grand prix?,simple,"['circuits', 'races']"
857,Give the coordinate position for Abu Dhabi Grand Prix.,simple,"['circuits', 'races']"
859,What's Bruno Senna's Q1 result in the qualifying race No. 354?,simple,"['drivers', 'qualifying']"
861,What is his number of the driver who finished 0:01:54 in the Q3 of qualifying race No.903?,simple,"['drivers', 'qualifying']"
862,"For the Bahrain Grand Prix in 2007, how many drivers not finished the game?",simple,"['drivers', 'results', 'races']"
865,"For all the drivers who finished the game in race No. 592, who is the oldest?",moderate,"['drivers', 'results']"
866,Who was the player that got the lap time of 0:01:27 in the race No. 161? Show his introduction website.,moderate,"['drivers', 'lapTimes']"
868,Where is Malaysian Grand Prix held? Give the location coordinates.,simple,"['circuits', 'races']"
869,"For the constructor which got the highest point in the race No. 9 , what is its introduction website?",moderate,"['constructors', 'constructorResults']"
872,"In the race No. 45, for the driver who had the Q3 time as 0:01:33, what is his abbreviated code?",simple,"['drivers', 'qualifying']"
875,Show me the season page of year when the race No. 901 took place.,simple,"['seasons', 'races']"
877,"For all the drivers who finished the game in race No. 872, who is the youngest?",moderate,"['drivers', 'results']"
879,"For the driver who set the fastest lap speed, what is his nationality?",moderate,"['drivers', 'results']"
880,"Paul di Resta was in the No. 853 race, what percent faster did he finish in the 853rd race than the next race for the fastest lap speed?",challenging,"['drivers', 'results']"
881,"For the drivers who took part in the race in 1983/7/16, what's their race completion rate?",moderate,"['results', 'races']"
884,List the names of all races that occurred in the earliest recorded year and month.,moderate,['races']
892,State the driver with the most points scored. Find his full name with that points.,moderate,"['drivers', 'races', 'driverStandings']"
894,What is the best lap time recorded? List the driver and race with such recorded lap time.,moderate,"['drivers', 'races', 'lapTimes']"
895,What is the average lap time for Lewis Hamilton in the 2009 Malaysian Grand Prix?,moderate,"['drivers', 'races', 'lapTimes']"
896,Calculate the percentage whereby Hamilton was not at the 1st track of the the f1 circuit since 2010.,challenging,"['drivers', 'races', 'driverStandings']"
897,Name the driver with the most winning. Mention his nationality and what is his maximum point scores.,moderate,"['drivers', 'driverStandings']"
898,How old is the youngest Japanese driver? What is his name?,simple,['drivers']
901,Name the races along with its circuit name and location for f1 races hosted in September 2005.,simple,"['circuits', 'races']"
902,Which race was Alex Yoong in when he was in track number less than 20?,simple,"['drivers', 'races', 'driverStandings']"
904,State the race and year of race in which Michael Schumacher had his fastest lap.,moderate,"['drivers', 'races', 'lapTimes']"
906,Which was Lewis Hamilton first race? What was his points recorded for his first race event?,moderate,"['drivers', 'races', 'driverStandings']"
909,"Among all European Grand Prix races, what is the percentage of the races were hosted in Germany?",moderate,"['circuits', 'races']"
910,What's the location coordinates of Silverstone Circuit?,simple,['circuits']
912,What's the reference name of Marina Bay Street Circuit?,simple,['circuits']
915,Which country is the oldest driver from?,simple,['drivers']
928,Which driver ranked the first in the Canadian Grand Prix in 2007? Please give his reference name.,moderate,"['drivers', 'results', 'races']"
930,In which Formula_1 race did Lewis Hamilton rank the highest?,simple,"['drivers', 'results', 'races']"
931,What was the fastest lap speed among all drivers in the 2009 Spanish Grand Prix?,moderate,"['results', 'races']"
933,What was Lewis Hamilton's final rank in the 2008 Chinese Grand Prix?,moderate,"['drivers', 'results', 'races']"
937,What's the finish time for the driver who ranked second in 2008's Chinese Grand Prix?,simple,"['results', 'races']"
940,"Among the drivers that finished the race in the 2008 Chinese Grand Prix, how many of them have participated in Formula_1 races?",moderate,"['results', 'races']"
944,How much faster in percentage is the champion than the driver who finished the race last in the 2008 Australian Grand Prix?,challenging,"['champion_time', 'last_driver_incremental', 'races', 'time_in_seconds', 'results']"
945,"How many circuits are there in Adelaide, Australia?",simple,['circuits']
948,What are the maximum points of British constructors?,simple,"['constructors', 'constructorStandings']"
950,Please list the constructor names with 0 points at race 291.,simple,"['constructors', 'constructorStandings']"
951,How many Japanese constructors have 0 points in 2 races?,simple,"['constructors', 'constructorStandings']"
954,Please calculate the race completion percentage of Japanese drivers from 2007 to 2009.,challenging,"['drivers', 'results', 'races']"
955,"What is the average time in seconds of champion for each year, before year 1975?",challenging,"['results', 'champion_time', 'races', 'time_in_seconds']"
959,What is the fastest lap number of the champion in 2009?,simple,"['results', 'races']"
960,What is the average of fastest lap speed in the 2009 Spanish Grand Prix race?,moderate,"['results', 'races']"
962,"From 2000 to 2005, what percentage of drivers who were born before 1985 and the lap numbers were over 50?",challenging,"['drivers', 'results', 'races']"
963,How many French drivers who obtain the laptime less than 02:00.00?,moderate,"['drivers', 'lapTimes']"
964,List out the code for drivers who have nationality in American.,simple,['drivers']
967,State code numbers of top 3 yougest drivers. How many Netherlandic drivers among them?,simple,['drivers']
971,Please state the reference name of the oldest German driver.,simple,['drivers']
972,Which drivers who were born in 1971 and has the fastest lap time on the race? Give id and code of these drivers.,moderate,"['drivers', 'results']"
977,"From race no. 50 to 100, how many finishers have been disqualified?",simple,['results']
978,How many times the circuits were held in Austria? Please give their location and coordinates.,simple,['circuits']
981,"On what year did the youngest driver had his first qualifying race? Also state the name, date and time of the race.",moderate,"['drivers', 'qualifying', 'races']"
988,List down top 3 German drivers who has the shortest average pit stop duration and were born between 1980-1985.,challenging,"['drivers', 'pitStops']"
989,Who is the champion of the Canadian Grand Prix in 2008? Indicate his finish time.,moderate,"['results', 'races']"
990,What is the constructor reference name of the champion in the 2009 Singapore Grand Prix? Please give its website.,challenging,"['constructors', 'results', 'races']"
717,Please list all the superpowers of 3-D Man.,simple,"['superpower', 'superhero', 'hero_power']"
994,"Which constructor scored most points from Monaco Grand Prix between 1980 and 2010? List the score, name and nationality of this team.",challenging,"['constructors', 'constructorResults', 'races']"
1001,What is full name of the racer who ranked 1st in the 3rd qualifying race held in the Marina Bay Street Circuit in 2008?,challenging,"['drivers', 'circuits', 'qualifying', 'races']"
1002,"As of the present, what is the full name of the youngest racer? Indicate her nationality and the name of the race to which he/she first joined.",moderate,"['drivers', 'races', 'driverStandings']"
1003,How many accidents did the driver who had the highest number accidents in the Canadian Grand Prix have?,moderate,"['results', 'races', 'status']"
1011,Which top 20 driver created the shortest lap time ever record in a Formula_1 race? Please give them full names.,challenging,"['drivers', 'lap_times_in_seconds', 'lapTimes']"
1014,Please list the lap records for the circuits in Italy.,challenging,"['circuits', 'results', 'fastest_lap_times', 'races']"
719,"Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?",moderate,"['superpower', 'superhero', 'hero_power']"
723,"Among the superheroes with blue eyes, how many of them have the super power of ""Agility""?",moderate,"['superpower', 'superhero', 'colour', 'hero_power']"
724,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,challenging,"['colour', 'superhero']"
726,Rank heroes published by Marvel Comics by their height in descending order.,moderate,"['superhero', 'publisher']"
728,"Rank superheroes from Marvel Comics by their eye color popularity, starting with the most common color.",moderate,"['colour', 'superhero', 'publisher']"
730,List the superheroes from Marvel Comics who have the super power of 'Super Strength'.,challenging,"['superpower', 'superhero', 'hero_power', 'publisher']"
732,Which publisher published the slowest superhero?,moderate,"['superhero', 'hero_attribute', 'attribute', 'publisher']"
733,How many gold-eyed superheroes did Marvel Comics publish?,moderate,"['colour', 'superhero', 'publisher']"
736,Who is the dumbest superhero?,moderate,"['superhero', 'hero_attribute', 'attribute']"
737,What is Copycat's race?,simple,"['superhero', 'race']"
738,Which superheroes have a durability attribute value of less than 50?,simple,"['superhero', 'hero_attribute', 'attribute']"
739,What are the names of the superheroes with the power of death touch?,moderate,"['superpower', 'superhero', 'hero_power']"
740,How many female superheroes have a strength value of 100?,moderate,"['superhero', 'gender', 'hero_attribute', 'attribute']"
743,What is the percentage of superheroes who act in their own self-interest or make decisions based on their own moral code? Indicate how many of the said superheroes were published by Marvel Comics.,challenging,"['superhero', 'alignment', 'publisher']"
744,"Between DC and Marvel Comics, which publisher has published more superheroes? Find the difference in the number of superheroes they have published.",challenging,"['superhero', 'publisher']"
745,Give the publisher ID of Star Trek.,simple,['publisher']
747,What is the total number of superheroes without full name?,simple,['superhero']
750,What is the average weight of all female superheroes?,simple,"['superhero', 'gender']"
751,List down at least five superpowers of male superheroes.,moderate,"['superpower', 'superhero', 'gender', 'hero_power']"
753,"Among the superheroes with height from 170 to 190, list the names of the superheroes with no eye color.",moderate,"['colour', 'superhero']"
758,Provide the hair colour of the human superhero who is 185 cm tall.,moderate,"['colour', 'superhero', 'race']"
760,"In superheroes with height between 150 to 180, what is the percentage of heroes published by Marvel Comics?",challenging,"['superhero', 'publisher']"
761,"Among the male superheroes, list the super hero names of superheroes with weight greater than the 79% average weight of all superheroes.",moderate,"['superhero', 'gender']"
764,What are the superpowers of heroes with ID 1?,simple,"['superpower', 'hero_power']"
765,How many heroes have stealth power?,simple,"['superpower', 'hero_power']"
766,What is the hero's full name with the highest attribute in strength?,moderate,"['superhero', 'hero_attribute', 'attribute']"
769,Which superhero has the most durability published by Dark Horse Comics?,challenging,"['superhero', 'hero_attribute', 'attribute', 'publisher']"
772,"List the eyes, hair and skin colour of all female superheroes published by Dark Horse Comics.",challenging,"['superhero', 'gender', 'publisher']"
773,"Which superhero has the same eyes, hair and skin colour? Indicate the publisher of the superhero.",challenging,"['superhero', 'publisher']"
775,What is the percentage of blue female superheroes among all female superheroes?,challenging,"['colour', 'superhero', 'gender']"
779,How many powers does Amazo hero have?,simple,"['superhero', 'hero_power']"
