question_id,query,difficulty,dataset,plan,type,columns
872,"In the race No. 45, for the driver who had the Q3 time as 0:01:33, what is his abbreviated code?",simple,fromula_1,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/formula_1/qualifying""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""raceId"":45,""q3"":{""max"":""1:34"",""min"":""1:33""}}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/formula_1/drivers""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""driverId"", ""columns_right"": ""driverId"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
875,Show me the season page of year when the race No. 901 took place.,simple,fromula_1,"{""plans"": [{""function"": ""http://127.0.0.1:5200/retrieve"", ""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/races""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""raceId"": 901}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"": ""http://127.0.0.1:5000/products/formula_1/seasons""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""year"", ""columns_right"": ""year"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
933,What was Lewis Hamilton's final rank in the 2008 Chinese Grand Prix?,moderate,fromula_1,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/formula_1/drivers""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""forename"": ""Lewis"",""surname"": ""Hamilton""}}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/results""}},{""function"": 'combination','filter_dict': {""columns_left"": ""driverId"", ""columns_right"": ""driverId"", ""type"": ""equals"",""values"": [""None""]}},{""function"": ""http://127.0.0.1:5200/retrieve"", ""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/races""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""year"": ""2008"",""name"": ""Chinese Grand Prix""}}},{""function"": 'combination','filter_dict': {""columns_left"": ""raceId"", ""columns_right"": ""raceId"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
892,State the driver with the most points scored. Find his full name with that points.,moderate,fromula_1,"{""plans"": [{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/drivers""}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/driverStandings""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""driverId"", ""columns_right"": ""driverId"", ""type"": ""equals"", ""values"": [""None""]}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/formula_1/races""}},{""function"": 'combination','filter_dict': {""columns_left"": ""raceId"", ""columns_right"": ""raceId"", ""type"": ""equals"", ""values"": [""None""]}},{""function"": ""http://127.0.0.1:5200/max"", ""filter_dict"": {""columns"": ""points"", ""rows"": 1}},]}",-,-
988,List down top 3 German drivers who has the shortest average pit stop duration and were born between 1980-1985.,challenging,fromula_1,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/formula_1/drivers'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""nationality"":""German"", ""dob"":{""min"":""1980-01-01"", ""max"": ""1985-12-31""}}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/formula_1/pitStops'}},{""function"":""http://127.0.0.1:5200/mean"",""filter_dict"":{""columns"":""milliseconds"",""group_by"":""driverId""}},{'function':'combination', 'filter_dict':{'columns_left': 'driverId', 'columns_right': 'driverId', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/min"",""filter_dict"":{""column"":""milliseconds"",""rows"":3}}]}",-,-
1096,Calculate the average overall rating of Pietro Marino.,moderate,football,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Player""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""player_name"":""Pietro Marino""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Player_Attributes""}},{""function"":""http://127.0.0.1:5200/mean"",""filter_dict"":{""group_by"":[""player_api_id""],""columns"":[""overall_rating""]}},{""function"":'combination', 'filter_dict': {""columns_left"": ""player_api_id"", ""columns_right"": ""player_api_id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1145,Which top 4 leagues had the most games in the 2015-2016 season?,simple,football,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Match""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""season"":""2015/2016""}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""group_by"":[""league_id""],""columns"":[""league_id""]}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""rows"":4,""columns"":[""count""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/League""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""league_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1147,Please name one player whose overall strength is the greatest.,simple,football,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Player_Attributes""}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""column"":""overall_rating"",""rows"":1}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Player""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""player_api_id"", ""columns_right"": ""player_api_id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1032,Give the name of the league with the highest matches of all time and how many matches were played in the said league.,moderate,football,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/Match""}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""group_by"":[""league_id""],""column"":""league_id""}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""column"":""count"",""rows"":1}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/european_football_2/League""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""league_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1114,"""What was the average overall rating for Marko Arnautovic from 2007/2/22 to 2016/4/21?""",challenging,football,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/european_football_2/Player'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""player_name"": ""Marko Arnautovic""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/european_football_2/Player_Attributes'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""date"": {""max"":""2016-04-21 00:00:00"",""min"":""2007-02-22 00:00:00""}}}},{""function"":'combination', 'filter_dict':{'columns_left': 'player_api_id', 'columns_right': 'player_api_id', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/mean"",""filter_dict"":{""columns"":""overall_rating""}}]}",-,-
1381,List the name of students that have attended more than 7 events.,moderate,student_club,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Attendance""}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""group_by"":[""link_to_member""],""columns"":[""link_to_member""]}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""count"":{""min"":7}}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Member""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""link_to_member"", ""columns_right"": ""member_id"", ""type"": ""equals"", ""values"": [""None""]}}]}",index,link_to_member
1344,What was the notes of the fundraising on 2019/9/14?,simple,student_club,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Income""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""date_received"":""2019-09-14"",""source"":""Fundraising""}}]}",-,-
1405,Calculate the amount budgeted for 'April Speaker' event. List all the budgeted categories for said event in an ascending order based on their amount budgeted.,moderate,student_club,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Event""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""event_name"":""April Speaker""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Budget""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""event_id"", ""columns_right"": ""link_to_event"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/sortby"",""filter_dict"":{""columns"":[""amount""],""ascending"":""True""}}]}",-,-
1464,Write the full names of students who received funds on the date of 9/9/2019 and include the amount received.,challenging,student_club,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Income'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""date_received"": ""2019-09-09""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}},{""function"":'combination', 'filter_dict':{'columns_left': 'link_to_member', 'columns_right': 'member_id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Attendance'}},{""function"":'combination', 'filter_dict':{'columns_left': 'member_id', 'columns_right': 'link_to_member', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Event'}},{""function"":'combination', 'filter_dict':{'columns_left': 'link_to_event', 'columns_right': 'event_id', 'type': 'equals','values': ['None']}}]}",-,-
1334,List the full name of the Student_Club members that grew up in Illinois state.,simple,student_club,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Member""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/student_club/Zip_Code""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""state"":""Illinois""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""zip"", ""columns_right"": ""zip_code"", ""type"": ""equals"", ""values"": [""None""]}}]}",index,member_id
17,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.",simple,california_schools,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/california_schools/satscores""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""AvgScrWrite"":{""min"":501}}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/california_schools/schools""}},{""function"":""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""CharterNum"": ""not empty""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""cds"", ""columns_right"": ""CDSCode"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/sortby"",""filter_dict"":{""columns"":""AvgScrWrite"",""ascending"":""False""}}]}",index,cds
39,What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,simple,california_schools,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/california_schools/schools""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""County"":""Fresno"",""OpenDate"":{""min"":""1980-01-01"",""max"":""1980-12-31""}}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/california_schools/satscores""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""CDSCode"", ""columns_right"": ""cds"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/mean"",""filter_dict"":{""columns"":""NumTstTakr""}}]}",-,-
40,What is the telephone number for the school with the lowest average score in reading in Fresno Unified?,moderate,california_schools,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/schools'}},{'function': 'http://127.0.0.1:5200/filter','filter_dict': {'conditions': {'District': 'Fresno Unified'}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/satscores'}},{'function': 'combination','filter_dict': {'columns_left': 'CDSCode', 'columns_right': 'cds', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/min', 'filter_dict': {'rows': 1, 'columns': ['AvgScrRead']}}]}",-,-
26,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,moderate,california_schools,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/frpm'}},{'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {""conditions"": {""Free Meal Count (Ages 5-17)"":{""min"":800},""School Type"":""High Schools (Public)""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/schools'}},{'function': 'http://127.0.0.1:5200/filter', 'filter_dict':{'conditions': {'County':'Monterey'}}},{'function':'combination', 'filter_dict':{'columns_left': 'CDSCode', 'columns_right': 'CDSCode', 'type': 'equals','values': ['None']}}]}",-,-
36,Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,california_schools,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/schools'}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/california_schools/satscores'}},{'function': 'combination','filter_dict': {'columns_left': 'CDSCode', 'columns_right': 'cds', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""rows"":1,""columns"":[""NumGE1500""]}}]}",-,-
634,"Among posts by Harvey Motulsky and Noah Snyder, which one has higher popularity?",challenging,codebase_community,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/codebase_community/users'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""DisplayName"":[""Harvey Motulsky"",""Noah Snyder""]}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/codebase_community/postHistory'}},{'function':'combination', 'filter_dict':{'columns_left': 'Id', 'columns_right': 'UserId', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/codebase_community/posts'}},{'function':'combination', 'filter_dict':{'columns_left': 'PostId', 'columns_right': 'Id', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/sum"",""filter_dict"":{""columns"":""ViewCount"",""group_by"":[""DisplayName""]}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""rows"":1,""columns"":""ViewCount""}}]}",-,-
578,Which user made a post titled 'Understanding what Dassault iSight is doing?' and how much is the reputation of the user?,moderate,codebase_community,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/users""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/posts""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Title"":""Understanding what Dassault iSight is doing?""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""Id"", ""columns_right"": ""OwnerUserId"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
537,How many posts does the user csgillespie own?,simple,codebase_community,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/users""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""DisplayName"":""csgillespie""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/posts""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""Id"", ""columns_right"": ""OwnerUserId"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":[""Id_users""]}}]}",-,-
671,What is the display name of the user who acquired the first Autobiographer badge?,simple,codebase_community,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/badges""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Name"":""Autobiographer""}}},{""function"":""http://127.0.0.1:5200/min"",""filter_dict"":{""columns"":""Date"",""rows"":1}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/users""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""UserId"", ""columns_right"": ""Id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
682,Which is the most valuable post in 2010? Please give its id and the owner's display name.,moderate,codebase_community,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/posts""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""CreaionDate"":{""min"":""2010-01-01 0:0:0.0"",""max"":""2011-01-01 0:0:0.0""}}}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""columns"":""FavoriteCount"",""rows"":1}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/codebase_community/users""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""OwnerUserId"", ""columns_right"": ""Id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1472,"In 2012, who had the least consumption in LAM?",moderate,debit_card_specializing,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/customers""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Segment"":""LAM""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/yearmonth""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Date"":{""min"":201201,""max"":201212}}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""CustomerID"", ""columns_right"": ""CustomerID"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/min"",""filter_dict"":{""columns"":""Consumption"",""rows"":1}}]}",-,-
1514,What kind of currency did the customer paid at 16:25:00 in 2012/8/24?,simple,debit_card_specializing,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/transactions_1k""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Date"":""2012-08-24"",""Time"":""16:25:00""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/customers""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""CustomerID"", ""columns_right"": ""CustomerID"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
